postcode	median	average
0800	43998	61992
0801	59595	77193
0804	62842	75926
0810	53833	63799
0811	62386	74350
0812	55214	63160
0814	50639	67080
0820	59878	74982
0821	59819	71735
0822	33440	45155
0828	57018	71883
0830	58260	65035
0831	61379	72351
0832	62987	71322
0834	60604	70848
0835	59084	72316
0836	56532	66280
0837	50644	60850
0838	51750	60326
0839	60664	69903
0841	59113	65047
0845	45278	52605
0846	44662	52055
0850	49571	54196
0851	49496	56088
0852	31578	39028
0853	61327	61276
0854	35266	42690
0860	53932	58079
0861	41980	47825
0862	36786	43192
0870	50609	57704
0871	51229	58366
0872	31883	39965
0880	42004	56522
0881	52755	65647
0885	68315	86713
0886	53781	63557
2000	18213	47723
2007	31474	46549
2008	41151	108816
2009	50604	82938
2010	53444	79838
2011	55019	85971
2015	60610	72810
2016	52731	68611
2017	53468	62869
2018	44235	54493
2019	51627	61563
2020	47604	55337
2021	64510	118200
2022	50683	82920
2023	65948	163820
2024	58670	113344
2025	64770	141298
2026	54133	86058
2027	69546	189293
2028	63922	138959
2029	57648	105681
2030	62261	185684
2031	57795	84639
2032	41779	58458
2033	47025	69138
2034	58955	85733
2035	48996	71091
2036	46686	60829
2037	49195	78117
2038	61016	86976
2039	67274	95474
2040	60551	82041
2041	68829	116682
2042	52727	66983
2043	65494	76653
2044	51162	60830
2045	51153	94524
2046	54897	76775
2047	62417	91443
2048	54678	72494
2049	53132	69884
2050	59752	74358
2060	62236	100332
2061	69828	114862
2062	66935	98131
2063	64991	151574
2064	55154	79117
2065	64956	92892
2066	58641	95917
2067	43505	67613
2068	59249	112123
2069	54870	114922
2070	54928	108137
2071	51773	104255
2072	46906	88570
2073	54947	100202
2074	50985	93320
2075	50313	90263
2076	51637	88087
2077	46203	57042
2079	48375	61231
2080	43921	62026
2081	48150	61695
2082	47504	61615
2083	42692	58504
2084	48915	98632
2085	44914	69487
2086	48559	71938
2087	47883	80330
2088	65656	155143
2089	63377	100193
2090	64203	107605
2092	59927	115492
2093	53946	95675
2094	61674	94661
2095	57147	97655
2096	56236	87496
2097	49106	75833
2099	45787	62177
2100	47091	66553
2101	47638	69937
2102	49581	67324
2103	45592	66302
2104	45788	93534
2105	46737	86232
2106	47830	79855
2107	44973	79808
2108	45675	115009
2110	63037	152102
2111	53791	81956
2112	46340	62239
2113	47949	62368
2114	46455	57537
2115	44990	55211
2116	43905	51686
2117	41809	54074
2118	40799	54666
2119	52032	83056
2120	48545	66470
2121	43822	62276
2122	40306	53853
2125	49587	77378
2126	46228	66037
2127	53757	63380
2128	43173	50947
2130	51397	67406
2131	41546	52620
2132	46025	61098
2133	44695	54987
2134	33744	48328
2135	39508	63678
2136	44513	56810
2137	50121	73034
2138	45614	58990
2140	41340	49275
2141	35617	43345
2142	37479	43078
2143	37847	45102
2144	30636	36716
2145	45577	52944
2146	45424	51745
2147	45209	51719
2148	42691	47344
2150	43360	50526
2151	45671	56044
2152	48096	58030
2153	48274	61846
2154	47931	68370
2155	52728	65742
2156	47047	76553
2157	41697	60511
2158	46438	89971
2159	42290	67624
2160	38759	45287
2161	37351	43097
2162	38565	44877
2163	36217	40384
2164	41530	48412
2165	37551	43121
2166	36801	42363
2167	44837	50367
2168	40710	45223
2170	42931	49502
2171	47305	54615
2172	58138	67745
2173	52727	58206
2174	52248	59338
2175	43872	58880
2176	42020	49385
2177	40794	46614
2178	44420	59018
2179	42375	52205
2190	35984	44438
2191	41009	51431
2192	38427	44587
2193	45092	56260
2194	34586	40403
2195	31803	37644
2196	37047	43850
2197	38871	48229
2198	40848	49657
2199	37340	45334
2200	36647	43915
2203	51073	62616
2204	48098	59313
2205	42227	51384
2206	46367	61434
2207	43301	53675
2208	42006	53428
2209	39704	49458
2210	41661	53694
2211	44174	52082
2212	44363	52206
2213	46935	57036
2214	45995	54887
2216	41000	49472
2217	44024	54590
2218	40849	49040
2219	47035	66019
2220	35957	46493
2221	45767	69656
2222	42477	52479
2223	47927	65290
2224	44206	65707
2225	51821	75058
2226	51309	66410
2227	49322	65948
2228	46653	62363
2229	48410	69491
2230	51252	76754
2231	46220	61827
2232	48564	60334
2233	48435	58027
2234	49259	63853
2250	41720	52578
2251	40819	53434
2256	39684	49543
2257	38294	48638
2258	43512	56419
2259	40500	49260
2260	43065	60664
2261	40577	49754
2262	39072	45407
2263	37790	44597
2264	37832	47948
2265	39796	49800
2267	39284	52314
2278	43466	50869
2280	42249	55911
2281	40512	52622
2282	44840	59378
2283	40662	53499
2284	41162	50310
2285	45261	52456
2286	42341	48818
2287	43740	52527
2289	45711	56303
2290	43755	55331
2291	50329	75806
2292	46154	53902
2293	44820	55542
2294	45830	54136
2295	44655	55787
2296	45267	52426
2297	42207	51159
2298	42534	49787
2299	41506	51191
2300	50012	78733
2302	46832	56965
2303	44671	62862
2304	42910	49339
2305	48151	63427
2306	35940	38346
2307	38677	43001
2311	31695	42039
2312	30434	37284
2315	35314	49511
2316	37110	49719
2317	35135	47752
2318	44029	53295
2319	38402	46197
2320	44985	59084
2321	45105	58114
2322	44128	52395
2323	44590	54496
2324	38823	47213
2325	39859	51785
2326	40560	49218
2327	39750	46636
2328	42681	57011
2329	36879	45535
2330	48459	68274
2333	48576	65465
2334	44540	56720
2335	47568	63538
2336	45925	61319
2337	39359	73352
2338	33353	43096
2339	31389	40424
2340	40582	47775
2341	34929	42290
2342	34554	40704
2343	36381	44049
2344	37126	39554
2345	36974	41136
2346	35122	39767
2347	30787	37854
2350	38676	48667
2352	38768	44487
2353	38918	43354
2354	31985	37481
2355	31395	36058
2357	34886	43350
2358	33853	40529
2359	28371	32919
2360	36796	41943
2361	25212	28381
2365	31820	35634
2369	34518	37834
2370	31441	36827
2371	25667	28191
2372	28975	34129
2379	27368	43053
2380	41057	52947
2381	39313	47645
2382	38086	48429
2386	26467	20666
2388	35912	41497
2390	40890	53792
2395	28704	33112
2396	31866	37624
2397	34137	44767
2399	38803	39250
2400	42131	53073
2402	33537	39507
2403	26685	26983
2404	28723	33161
2405	34497	36960
2406	39688	40675
2408	47510	50058
2409	33337	55270
2420	33737	43156
2421	41243	54926
2422	30672	39463
